key,en,ja,ko,zh
address,Address,所在地,주소,地址
allFieldsRequired,Please fill all the fields,すべての欄にご記入ください。,모든 입력란을 작성해 주세요.,请填写所有栏目
cancel,Cancel,キャンセル,취소,取消
createdby,Created By,作成者,만든 사람,创建者
cult,Cultural,文化的,문화적 요인,文化
desc,Description,説明,설명,说明
done,Done,終了,완료,已完成
email,Email,電子メール,이메일,电子邮件
emo,Emotional,感情的,감성적 요인,情绪化的
errfix,Fix the errors in the form,フォームのエラーを修正する,양식의 오류 수정,修正表格中的错误
erric,Invalid credentials,無効な認証情報,잘못된 자격 증명,证件无效
errunauth,Unauthorized action,不正行為,무단 조치,未经授权的行动
firstname,First Name,名前,이름,姓
forgotpw,Forgot Password?,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,忘记密码？
group,Group,グループ,그룹,组别
groups,Groups,グループ,그룹,组别
home,Home,ホーム,홈,首页
lastname,Last Name,名字,성,名
locname,Location Name,場所名,위치 이름,地点名称
login,Login,ログイン,로그인,登录
negative,Negative,否定的,부정적,阴性
newuser,New User?,新しいユーザー？,신규 사용자이신가요?,新用户？
next,Next,次へ,다음,下一页
nocult,Not-Cultural,非文化的,문화적 요인과 상관없는,非文化
noemo,Not-Emotional,感情的ではない,감성적 요인과 상관없는,非情感
nophys,Not-Physical,非物理的,물리적요인과 상관없는,非物理
ok,OK,確認,확인,确认
password,Password,パスワード,비밀번호,密码
passwordconf,Password Confirmation,パスワードの確認,비밀번호 확인,密码确认
phys,Physical,物理的,물리적 요인,物理的
positive,Positive,肯定的,긍정적,积极的
register,Register,登録,등록,注册
registerhere,Register here,ここに登録,여기에서 등록하세요,在此注册
resethere,Reset here,ここでリセット,여기에서 재설정,在此重置
selcats,Select Appropriate Categories,適切なカテゴリーを選択する,적절한 카테고리 선택,选择适当的类别
submit,Submit,投稿する,투고하기,提交
taptoviewim,Tap to view the image,タップして画像を表示,이미지를 보려면 탭하세요.,轻点查看图像
topic,Topic,トピック,주제,主题
unnamed,Unnamed,無名,이름 없음,未命名
username,Username,ユーザー名,사용자 이름,用户名
exists,Already Exists,すでに存在する,이미 존재함,已存在
savedimage,Saved to the gallery,,,
errnosave,Couldn't save,,,
saving,Saving,,,
deleted,Deleted Successfully,,,
deleteconf,Are you sure to delete,,,
yes,Yes,,,
no,No,,,
errcrs,Something went wrong,,,
logout,Logout,,,
photodel,This photo and information may not be saved,,,
checkemail,Please check your email for password reset link,,,
noemail,Could not find an account for the above email address,,,
logoutconf,Are you sure to logout?,,,
editprof,Edit Profile,,,
